ds,High_Upper,Higher_Lower,Low_upper,Low_Lower,Open,ETH,USDT
2021-01-06 12:00:00,1169.2326502766407,1095.8434149685083,1056.9665689208925,986.8812339416852,1151.88,0.9517235556911912,0
2021-01-06 16:00:00,1188.5479677609917,1118.7474043054035,1079.9163109498954,1008.0159694577609,1143.89,0.9517235556911912,0
2021-01-06 20:00:00,1208.239350950821,1134.9500017767155,1102.3773948082478,1036.9492167328522,1160.78,0.9517235556911912,0
2021-01-07 00:00:00,1235.5236295499315,1162.160865148886,1132.7384725587942,1066.4618439148821,1208.42,0.9517235556911912,0
2021-01-07 04:00:00,1250.5003361497022,1178.649019818671,1148.4535775974555,1083.107296367918,1213.17,0.9517235556911912,0
2021-01-07 08:00:00,1281.7174387603166,1214.6697366380586,1182.761584038745,1114.4653781976015,1186.21,0.9517235556911912,0
2021-01-07 12:00:00,1283.8108150684695,1213.3720157013497,1209.9826802748064,1144.7632505129197,1201.12,0.9517235556911912,0
2021-01-07 16:00:00,1316.762549761431,1247.5328534741996,1225.322362130068,1163.9723165989933,1249.83,0.9517235556911912,0
2021-01-07 20:00:00,1327.0889070038577,1258.4466948612992,1237.348476142303,1173.9728799554455,1234.14,0.9517235556911912,0
2021-01-08 00:00:00,1359.945863525214,1293.2097606421062,1257.6061578442584,1198.0571582767436,1224.87,0.9517235556911912,0
2021-01-08 04:00:00,1374.0707177360125,1310.4472446351292,1260.829970496503,1199.8890590218998,1150.1,0.9517235556911912,0
2021-01-08 08:00:00,1379.9000812317902,1315.5526293685411,1274.7554870545846,1206.1496517133621,1208.42,0.9517235556911912,0
2021-01-08 12:00:00,1400.1896835040243,1332.2311022821298,1283.3276864022976,1215.8155483584983,1255.43,0.9517235556911912,0
2021-01-08 16:00:00,1403.6653939068533,1341.0286307493523,1290.8532111333616,1228.4182184379142,1216.77,0.9517235556911912,0
2021-01-08 20:00:00,1417.7427948441612,1352.6751636258978,1307.362281727905,1246.6470153254384,1184.75,0,1127.5544826051387
2021-01-09 00:00:00,1424.3520488146444,1354.6656320238355,1314.601058349881,1251.589758559958,1216.93,0,1127.5544826051387
2021-01-09 04:00:00,1420.4319679408477,1350.1336934693788,1317.7221313401985,1254.7188871481296,1226.53,0.9193044463691379,0
2021-01-09 08:00:00,1430.3881332940584,1363.236730366391,1327.728662841552,1267.0615558304182,1196.49,0.9193044463691379,0
2021-01-09 12:00:00,1423.9620200363117,1350.8868081083215,1332.8950279663795,1266.450867920188,1220.64,0.9193044463691379,0
2021-01-09 16:00:00,1437.547774345494,1365.360580747508,1337.4943329164364,1267.149642438302,1219.95,0.9193044463691379,0
2021-01-09 20:00:00,1447.6064726599068,1368.7358596765935,1345.1165438686269,1276.0747911502262,1229.42,0.9193044463691379,0
2021-01-10 00:00:00,1445.529619136763,1367.4252369089158,1352.1292453041028,1288.6307299768075,1276.0,0.9193044463691379,0
2021-01-10 04:00:00,1454.003716018829,1376.9859179650625,1372.8023869991011,1304.1976910281087,1310.97,0.9193044463691379,0
2021-01-10 08:00:00,1456.9690731918586,1383.5322687951202,1388.0709619054026,1321.529289894468,1344.7,0.9193044463691379,0
2021-01-10 12:00:00,1475.3198344917334,1398.8641559020214,1385.827793055649,1320.2396899742557,1259.28,0.9193044463691379,0
2021-01-10 16:00:00,1476.4072855734842,1399.7381755262331,1384.092749371391,1315.0411898738162,1303.18,0.9193044463691379,0
2021-01-10 20:00:00,1473.6074579192575,1394.2011537614512,1391.5571714476835,1319.6812701622496,1263.17,0.9193044463691379,0
2021-01-11 00:00:00,1470.822149411085,1392.3598706492182,1384.8614687551183,1313.7402066950438,1254.25,0.9193044463691379,0
2021-01-11 04:00:00,1472.414132305628,1393.320601302486,1359.4667229861743,1285.6347630141827,1104.14,0.9193044463691379,0
2021-01-11 08:00:00,1454.9238015060846,1375.1043574743053,1350.4376138336204,1271.2463137230095,1071.84,0.9193044463691379,0
2021-01-11 12:00:00,1453.2447895497223,1370.904545151213,1343.3693681432062,1261.9484844926333,1067.87,0.9193044463691379,0
2021-01-11 16:00:00,1453.185526791421,1363.8328922667406,1339.0457575039047,1250.770863401122,977.21,0.9193044463691379,0
2021-01-11 20:00:00,1449.643856080847,1352.0422595086854,1334.7795778040456,1241.7525484267906,984.41,0.9193044463691379,0
2021-01-12 00:00:00,1452.62319900751,1349.0256736339327,1334.307088344999,1239.0657269722149,1087.01,0.9193044463691379,0
2021-01-12 04:00:00,1450.919245145429,1346.1531287092998,1335.7947463870935,1238.2095355139593,1088.52,0.9193044463691379,0
2021-01-12 08:00:00,1442.0286605822605,1341.111727908416,1332.5126193736583,1232.4746629431515,1139.05,0.9193044463691379,0
2021-01-12 12:00:00,1447.2361993647999,1339.8600426930727,1328.5863799834067,1226.1711742719428,1099.16,0,1010.4626752711017
2021-01-12 16:00:00,1442.799129228521,1336.812282423601,1324.6573966568712,1219.9068654803514,1053.34,0,1010.4626752711017
2021-01-12 20:00:00,1427.89281202143,1320.5291533205952,1304.0190050934916,1205.4961489498496,1082.76,0.9332286705004819,0
2021-01-13 00:00:00,1421.6388058386808,1309.2221417464991,1311.4629586478918,1204.436850876267,1050.16,0.9332286705004819,0
2021-01-13 04:00:00,1380.176228395984,1271.6540047052817,1278.202169252779,1171.480263456454,1046.72,0.9332286705004819,0
2021-01-13 08:00:00,1407.8685028490345,1289.512599722345,1282.5683097861909,1176.4700427922794,1076.35,0,1004.4806794931935
2021-01-13 12:00:00,1346.7386138343766,1246.4942093282552,1249.2820450087436,1146.5469315177916,1061.6,0,1004.4806794931935
