ds,High,Low,Open
2021-11-15 08:00:00,5113.811589118646,4602.525275384025,4680.25
2021-11-15 12:00:00,5131.306573572024,4599.365287468283,4723.0
2021-11-15 16:00:00,5094.461510247238,4590.860464392132,4648.08
2021-11-15 20:00:00,5115.161822240469,4602.959908246487,4600.54
2021-11-16 00:00:00,5102.945254723862,4601.642519847245,4563.78
2021-11-16 04:00:00,5113.3933401229215,4583.924370172373,4309.58
2021-11-16 08:00:00,5094.060289014987,4572.280355545937,4312.11
2021-11-16 12:00:00,5092.409971678333,4562.731160970536,4292.43
2021-11-16 16:00:00,5089.378004798031,4572.020532497525,4285.82
2021-11-16 20:00:00,5110.800884346928,4577.737349231955,4265.03
2021-11-17 00:00:00,5106.933068984472,4554.198227531342,4209.76
2021-11-17 04:00:00,5090.190280078118,4505.753281454672,4122.11
2021-11-17 08:00:00,5035.329866946246,4502.24953153219,4183.67
2021-11-17 12:00:00,5034.574551861422,4483.09234310845,4252.4
2021-11-17 16:00:00,5004.212967996373,4435.888620138291,4174.76
2021-11-17 20:00:00,4959.41273750514,4440.391116312396,4242.52
2021-11-18 00:00:00,4882.0411231329845,4359.179743639932,4287.8
2021-11-18 04:00:00,4910.355668435393,4324.333583016257,4279.5
2021-11-18 08:00:00,4925.69810346694,4304.255946790869,4247.99
2021-11-18 12:00:00,4860.027228412394,4326.362016258151,4189.65
2021-11-18 16:00:00,4847.810287927472,4273.64364929985,4071.77
2021-11-18 20:00:00,4819.263925292901,4282.2529925942945,4065.41
2021-11-19 00:00:00,4803.59116740528,4227.32399492669,3996.9
2021-11-19 04:00:00,4793.03049339724,4178.298544604131,4010.67
2021-11-19 08:00:00,4703.050001884297,4207.253751264502,4062.04
2021-11-19 12:00:00,4744.025149578258,4121.245979273548,4141.2
2021-11-19 16:00:00,4740.078973056463,4155.120238559029,4216.17
2021-11-19 20:00:00,4716.101593697751,4140.930392555106,4290.07
2021-11-20 00:00:00,4723.7938569675525,4132.68549904112,4294.76
2021-11-20 04:00:00,4716.923275669469,4065.6245714698834,4280.55
2021-11-20 08:00:00,4621.776192588319,4037.217285730252,4279.99
2021-11-20 12:00:00,4624.077764266243,4063.4770427609324,4317.83
2021-11-20 16:00:00,4670.319721605412,4061.1451249829993,4213.06
2021-11-20 20:00:00,4596.661277579657,4085.316511946548,4398.39
2021-11-21 00:00:00,4631.624001029028,4079.392151812325,4412.17
2021-11-21 04:00:00,4637.836114538981,4093.058060671233,4343.29
2021-11-21 08:00:00,4650.635257278638,4084.9856992307655,4348.13
2021-11-21 12:00:00,4670.968563323931,4093.7805538814646,4319.53
2021-11-21 16:00:00,4674.717610652997,4125.785045957246,4366.21
2021-11-21 20:00:00,4704.812449356984,4136.365483513576,4345.99
2021-11-22 00:00:00,4642.166248551651,4101.446310607304,4258.31
2021-11-22 04:00:00,4637.9762362346655,4089.6385963510047,4164.99
2021-11-22 08:00:00,4667.64581693952,4087.489959934583,4188.17
2021-11-22 12:00:00,4682.666488354354,4088.362681754452,4171.92
2021-11-22 16:00:00,4654.061621160544,4066.436118812157,4236.6
2021-11-22 20:00:00,4651.308710801437,4069.2315361508604,4066.39
2021-11-23 00:00:00,4643.402245675437,4057.3148873927776,4085.97
2021-11-23 04:00:00,4618.543109866112,4064.030300368935,4178.58
2021-11-23 08:00:00,4582.876100605871,4034.2129203701556,4107.09
2021-11-23 12:00:00,4598.9716980590665,4078.374508929503,4135.28
2021-11-23 16:00:00,4603.483438785682,4078.530659112378,4269.55
2021-11-23 20:00:00,4610.955316399875,4077.605105537622,4355.86
2021-11-24 00:00:00,4617.0026643511,4054.8497288835597,4339.44
2021-11-24 04:00:00,4605.712976313818,4071.4235781684674,4246.71
2021-11-24 08:00:00,4591.445223001223,4056.3521907104,4269.37
2021-11-24 12:00:00,4601.741434431947,4057.4967479858806,4292.28
2021-11-24 16:00:00,4562.187409281526,4049.5042355337623,4252.35
2021-11-24 20:00:00,4568.299351654919,4017.1719866979124,4211.88
2021-11-25 00:00:00,4533.994507657694,4021.8097279137464,4269.36
2021-11-25 04:00:00,4550.283869861651,3991.18188689584,4317.2
2021-11-25 08:00:00,4502.584123324027,3990.2589171490426,4295.39
2021-11-25 12:00:00,4483.95423821508,3988.629076470028,4386.96
2021-11-25 16:00:00,4491.516599884654,4003.6355625217484,4475.65
2021-11-25 20:00:00,4452.816048664896,3989.548185025505,4502.04
2021-11-26 00:00:00,4461.858996784581,3983.7056220656136,4524.85
2021-11-26 04:00:00,4470.501921150775,3986.775966245719,4426.63
2021-11-26 08:00:00,4463.163523678397,3976.0774948053086,4343.45
2021-11-26 12:00:00,4458.3399726397665,3951.940618420976,3985.44
2021-11-26 16:00:00,4465.053637715061,3969.2178019441635,4063.94
2021-11-26 20:00:00,4429.057200791199,3933.4951534322245,4082.94
2021-11-27 00:00:00,4408.224933058966,3904.239095732848,4041.2
2021-11-27 04:00:00,4411.815461839191,3915.3323892446424,4115.01
2021-11-27 08:00:00,4392.295089860187,3922.699021061454,4123.82
2021-11-27 12:00:00,4403.580895735279,3884.056963159771,4111.82
2021-11-27 16:00:00,4358.904944053632,3886.7966948925996,4132.82
2021-11-27 20:00:00,4349.997536061498,3888.52068204378,4115.25
2021-11-28 00:00:00,4358.430633551098,3879.026978940633,4095.29
2021-11-28 04:00:00,4337.986708625751,3842.949499526275,4026.03
2021-11-28 08:00:00,4366.238073943511,3836.4153133076893,4069.31
2021-11-28 12:00:00,4356.210121788819,3841.946785586891,4096.6
2021-11-28 16:00:00,4355.1534116355615,3861.293102654279,4077.74
2021-11-28 20:00:00,4367.1158031491805,3859.7566992773764,4098.9
2021-11-29 00:00:00,4339.370743209887,3855.9180739075514,4294.78
2021-11-29 04:00:00,4362.847980424787,3870.1339785897767,4306.75
2021-11-29 08:00:00,4375.947766349469,3866.4839178932116,4350.74
2021-11-29 12:00:00,4357.448371751201,3863.5876957876394,4296.64
2021-11-29 16:00:00,4376.187184822114,3873.788487914827,4336.08
2021-11-29 20:00:00,4357.449065126274,3889.0768086450016,4387.04
2021-11-30 00:00:00,4398.1714154312485,3902.0831636429634,4444.53
2021-11-30 04:00:00,4384.560339687864,3903.9265753054237,4435.24
2021-11-30 08:00:00,4418.506135290137,3955.6665965563784,4412.82
2021-11-30 12:00:00,4455.640876560025,3946.4052994989834,4590.47
2021-11-30 16:00:00,4453.63920475777,4007.206683715681,4613.85
2021-11-30 20:00:00,4507.902071853329,3985.0503937722897,4663.23
2021-12-01 00:00:00,4532.515604152598,4016.382731172766,4630.26
2021-12-01 04:00:00,4540.358248882178,4044.1447723908564,4759.37
2021-12-01 08:00:00,4566.575721960116,4039.589971571357,4766.69
2021-12-01 12:00:00,4551.332783286095,4066.8734817360873,4672.86
2021-12-01 16:00:00,4580.118485511567,4045.03519883913,4725.57
2021-12-01 20:00:00,4579.323855138102,4050.642538502929,4660.58
2021-12-02 00:00:00,4567.383537810829,4047.78452112303,4582.95
2021-12-02 04:00:00,4578.397198421716,4013.8167722003705,4490.98
2021-12-02 08:00:00,4575.62980195364,4006.3962341342426,4560.11
2021-12-02 12:00:00,4572.592984221937,4010.9055030836284,4531.25
2021-12-02 16:00:00,4573.153952113736,4023.1895990032945,4543.06
2021-12-02 20:00:00,4578.820155027399,4007.6635503141665,4489.24
2021-12-03 00:00:00,4571.3761395846,4018.6990645589844,4511.21
2021-12-03 04:00:00,4584.019879650723,4019.0202824293187,4493.15
2021-12-03 08:00:00,4568.59840638346,4030.671741348976,4568.57
2021-12-03 12:00:00,4582.207166406524,4047.8568528931937,4612.08
2021-12-03 16:00:00,4569.569052089269,4060.714560259279,4468.15
2021-12-03 20:00:00,4576.700299926219,4030.5153562751525,4228.81
2021-12-04 00:00:00,4581.642304352251,4005.761949297905,4215.73
2021-12-04 04:00:00,4553.5897397579465,4009.712462389313,4058.12
2021-12-04 08:00:00,4551.5105989713265,3975.396329804367,3893.51
2021-12-04 12:00:00,4553.676604314724,3980.0515270685564,3866.36
